accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6,alpha,threshold_oracle,oracle_f1_at_best_th,kind,seed
0.5603603603603604,0.12648221343873517,0.5818181818181818,0.2077922077922078,0.5909727272727272,0.12225346975989802,0.5699090909090909,0.14864864864864866,0.14067278287461774,0.12849162011173185,0.6000000000000001,0.05,0.2077922077922078,ood_oracle_analysis_only,43
0.5855855855855856,0.1292372881355932,0.5545454545454546,0.20962199312714777,0.5884727272727274,0.12047077687173871,0.5717727272727273,0.1404494382022472,0.1371571072319202,0.12972972972972974,0.65,0.05,0.20962199312714777,ood_oracle_analysis_only,43
0.6081081081081081,0.12984054669703873,0.5181818181818182,0.20765027322404372,0.5851636363636363,0.11841260354529277,0.5680909090909091,0.13705583756345177,0.13705583756345177,0.13051823416506717,0.7000000000000001,0.05,0.20765027322404372,ood_oracle_analysis_only,43
0.6297297297297297,0.13202933985330073,0.4909090909090909,0.20809248554913296,0.5823636363636363,0.11706387476336781,0.5679545454545455,0.13424657534246576,0.13424657534246576,0.13127413127413126,0.75,0.05,0.20809248554913296,ood_oracle_analysis_only,43
0.6468468468468469,0.12698412698412698,0.43636363636363634,0.19672131147540983,0.5785909090909092,0.11515277324295786,0.5531818181818182,0.13263157894736843,0.13263157894736843,0.12969924812030076,0.8,0.05,0.19672131147540983,ood_oracle_analysis_only,43
0.6765765765765765,0.11692307692307692,0.34545454545454546,0.17471264367816092,0.5744,0.11314151864857587,0.5292272727272727,0.1310344827586207,0.1310344827586207,0.1306930693069307,0.8500000000000001,0.05,0.17471264367816092,ood_oracle_analysis_only,43
0.7099099099099099,0.10740740740740741,0.2636363636363636,0.15263157894736842,0.5674636363636363,0.11036032584763178,0.5113181818181818,0.13320079522862824,0.13320079522862824,0.13320079522862824,0.9,0.05,0.15263157894736842,ood_oracle_analysis_only,43
0.7738738738738739,0.06748466257668712,0.1,0.08058608058608059,0.5581727272727273,0.10756228771806461,0.474,0.12943632567849686,0.12943632567849686,0.12878787878787878,0.9500000000000001,0.05,0.08058608058608059,ood_oracle_analysis_only,43
0.7873873873873873,0.0684931506849315,0.09090909090909091,0.078125,0.5055090909090909,0.09622062091449385,0.47745454545454546,0.10743801652892562,0.10743801652892562,0.10743801652892562,1.0,0.05,0.078125,ood_oracle_analysis_only,43
0.6657657657657657,0.16103896103896104,0.5636363636363636,0.2505050505050505,0.6589363636363637,0.15709852710675715,0.6203181818181818,0.18811881188118812,0.17037037037037037,0.15681818181818183,0.0,0.49999999999999994,0.2505050505050505,ood_oracle_analysis_only,44
0.663963963963964,0.16020671834625322,0.5636363636363636,0.24949698189134809,0.6578272727272727,0.1553875625316687,0.6193181818181819,0.18840579710144928,0.17343173431734318,0.1564625850340136,0.05,0.475,0.24949698189134809,ood_oracle_analysis_only,44
0.6630630630630631,0.15979381443298968,0.5636363636363636,0.24899598393574296,0.6565909090909091,0.15402002479774082,0.6188181818181818,0.19117647058823528,0.17391304347826086,0.15575620767494355,0.1,0.44999999999999996,0.24899598393574296,ood_oracle_analysis_only,44
0.6621621621621622,0.15938303341902313,0.5636363636363636,0.24849699398797595,0.6556727272727273,0.15336803420555556,0.6183181818181818,0.18932038834951456,0.17454545454545456,0.15575620767494355,0.15000000000000002,0.42499999999999993,0.24849699398797595,ood_oracle_analysis_only,44
0.6621621621621622,0.15938303341902313,0.5636363636363636,0.24849699398797595,0.6547545454545455,0.15425564589893762,0.6183181818181818,0.19230769230769232,0.1746031746031746,0.1552511415525114,0.2,0.39999999999999997,0.24849699398797595,ood_oracle_analysis_only,44
0.6612612612612613,0.15897435897435896,0.5636363636363636,0.248,0.6535,0.1548647676372878,0.6178181818181818,0.19047619047619047,0.17670682730923695,0.15419501133786848,0.25,0.37499999999999994,0.248,ood_oracle_analysis_only,44
